Timestamp,iSTAR i8,Input Port
08/03/23 10:52:05,i8.4,input 2 INACTIVE,
08/03/23 10:52:06,i8.4,input 3 ACTIVE,
08/03/23 10:52:07,i8.4,input 3 INACTIVE,
08/03/23 10:52:08,i8.4,input 4 ACTIVE,
08/03/23 10:52:09,i8.4,input 4 INACTIVE,
08/03/23 10:52:10,i8.4,input 5 ACTIVE,
08/03/23 10:52:11,i8.4,input 5 INACTIVE,
08/03/23 10:52:12,i8.4,input 6 ACTIVE,
08/03/23 10:52:13,i8.4,input 6 INACTIVE,
08/03/23 10:52:14,i8.4,input 7 ACTIVE,
08/03/23 10:52:15,i8.4,input 7 INACTIVE,
08/03/23 10:52:16,---,---,END OF TEST #0 Trial: 2
08/03/23 10:52:16,---,---,TEST #0 Trial:2
08/03/23 10:52:16,i8.5,input 0 ACTIVE,
08/03/23 10:52:17,i8.5,input 0 INACTIVE,
08/03/23 10:52:18,i8.5,input 1 ACTIVE,
08/03/23 10:52:19,i8.5,input 1 INACTIVE,
08/03/23 10:52:20,i8.5,input 2 ACTIVE,
08/03/23 10:52:21,i8.5,input 2 INACTIVE,
08/03/23 10:52:22,i8.5,input 3 ACTIVE,
08/03/23 10:52:23,i8.5,input 3 INACTIVE,
08/03/23 10:52:24,i8.5,input 4 ACTIVE,
08/03/23 10:52:25,i8.5,input 4 INACTIVE,
08/03/23 10:52:26,i8.5,input 5 ACTIVE,
08/03/23 10:52:27,i8.5,input 5 INACTIVE,
08/03/23 10:52:28,i8.5,input 6 ACTIVE,
08/03/23 10:52:29,i8.5,input 6 INACTIVE,
08/03/23 10:52:30,i8.5,input 7 ACTIVE,
08/03/23 10:52:31,i8.5,input 7 INACTIVE,
08/03/23 10:52:32,---,---,END OF TEST #0 Trial: 2
08/03/23 10:52:32,---,---,TEST #0 Trial:2
08/03/23 10:52:32,i8.6,input 0 ACTIVE,
08/03/23 10:52:33,i8.6,input 0 INACTIVE,
08/03/23 10:52:34,i8.6,input 1 ACTIVE,
08/03/23 10:52:35,i8.6,input 1 INACTIVE,
08/03/23 10:52:36,i8.6,input 2 ACTIVE,
08/03/23 10:52:37,i8.6,input 2 INACTIVE,
08/03/23 10:52:38,i8.6,input 3 ACTIVE,
08/03/23 10:52:39,i8.6,input 3 INACTIVE,
08/03/23 10:52:40,i8.6,input 4 ACTIVE,
08/03/23 10:52:41,i8.6,input 4 INACTIVE,
08/03/23 10:52:42,i8.6,input 5 ACTIVE,
08/03/23 10:52:43,i8.6,input 5 INACTIVE,
08/03/23 10:52:44,i8.6,input 6 ACTIVE,
08/03/23 10:52:45,i8.6,input 6 INACTIVE,
08/03/23 10:52:46,i8.6,input 7 ACTIVE,
08/03/23 10:52:47,i8.6,input 7 INACTIVE,
08/03/23 10:52:48,---,---,END OF TEST #0 Trial: 2
08/03/23 10:52:48,---,---,TEST #0 Trial:2
08/03/23 10:52:48,i8.7,input 0 ACTIVE,
08/03/23 10:52:49,i8.7,input 0 INACTIVE,
08/03/23 10:52:50,i8.7,input 1 ACTIVE,
08/03/23 10:52:51,i8.7,input 1 INACTIVE,
08/03/23 10:52:52,i8.7,input 2 ACTIVE,
08/03/23 10:52:53,i8.7,input 2 INACTIVE,
08/03/23 10:52:54,i8.7,input 3 ACTIVE,
08/03/23 10:52:55,i8.7,input 3 INACTIVE,
08/03/23 10:52:56,i8.7,input 4 ACTIVE,
08/03/23 10:52:57,i8.7,input 4 INACTIVE,
08/03/23 10:52:58,i8.7,input 5 ACTIVE,
08/03/23 10:52:59,i8.7,input 5 INACTIVE,
08/03/23 10:53:00,i8.7,input 6 ACTIVE,
08/03/23 10:53:01,i8.7,input 6 INACTIVE,
08/03/23 10:53:02,i8.7,input 7 ACTIVE,
08/03/23 10:53:03,i8.7,input 7 INACTIVE,
08/03/23 10:53:04,---,---,END OF TEST #0 Trial: 2
08/03/23 10:53:04,---,---,TEST #0 Trial:2
08/03/23 10:53:04,i8.8,input 0 ACTIVE,
